player,pos,team_currently_with,age_at_signing,start_year,end_year,yrs,value,average_salary,guarantee_at_sign,practical_guarantee
Sam LaPorta,TE,DET,22,2023,2026,4,9465990,2366498,7833173,7833173
Ja'Tavion Sanders,TE,CAR,21,2024,2027,4,4894236,1223559,874236,874236
Justin Joly,TE,MIA,21,2026,2029,4,4886104,1221526,506104,506104
Max Bredeson,TE,MIN,23,2026,2029,4,4871544,1217886,491544,491544
Tanner Koziol,TE,JAX,22,2026,2029,4,4856840,1214210,476840,476840
Theo Johnson,TE,NYG,23,2024,2027,4,4851436,1212859,831436,831436
Riley Nowakowski,TE,PIT,23,2026,2029,4,4823260,1205815,443260,443260
Erick All,TE,CIN,23,2024,2027,4,4813104,1203276,793104,793104
Joe Royer,TE,CLE,24,2026,2029,4,4812596,1203149,432596,432596
Brady Russell,TE,SEA,27,2026,2027,2,4800000,2400000,2145000,2145000
A.J. Barner,TE,SEA,21,2024,2027,4,4775108,1193777,755108,755108
Josh Cuevas,TE,BAL,22,2026,2029,4,4759476,1189869,379476,379476
Seydou Traore,TE,MIA,23,2026,2029,4,4759472,1189868,379472,379472
Cade Stover,TE,HOU,23,2024,2027,4,4758936,1189734,738936,738936
Jared Wiley,TE,KC,23,2024,2027,4,4708620,1177155,688620,688620
Bauer Sharp,TE,TB,23,2026,2029,4,4696580,1174145,316580,316580
Mitchell Evans,TE,CAR,22,2025,2028,4,4590968,1147742,390968,390968
Oronde Gadsden II,TE,LAC,21,2025,2028,4,4574036,1143509,374036,374036
Jack Endries,TE,CIN,22,2026,2029,4,4551016,1137754,171016,171016
Jaren Kanak,TE,TEN,22,2026,2029,4,4543412,1135853,163412,163412
Robbie Ouzts,TE,SEA,22,2025,2028,4,4520216,1130054,320216,320216
Jackson Hawes,TE,BUF,24,2025,2028,4,4520216,1130054,320216,320216
Dallen Bentley,TE,DEN,25,2026,2029,4,4500488,1125122,120488,120488
Carsen Ryan,TE,CLE,22,2026,2029,4,4500488,1125122,120488,120488
Connor Heyward,TE,LV,27,2026,2027,2,4500000,2250000,1930000,1930000
Gavin Bartholomew,TE,MIN,22,2025,2028,4,4415824,1103956,215824,215824
Thomas Fidone II,TE,NYG,22,2025,2028,4,4349516,1087379,149516,149516
Will Mallory,TE,IND,23,2023,2026,4,4130592,1032648,290592,290592
Davis Allen,TE,LAR,22,2023,2026,4,4084976,1021244,244976,244976
Payne Durham,TE,TB,22,2023,2026,4,4084976,1021244,244976,244976
Greg Dulcich,TE,MIA,25,2026,2026,1,3250000,3250000,2910000,2910000
Austin Hooper,TE,ATL,31,2026,2026,1,3250000,3250000,2740000,2740000
D.J. Rogers,TE,DAL,24,2026,2028,3,3125000,1041667,200000,200000
